2024-12-26 14:27:16,187 - INFO - Episode 10001/300000, Reward: 10.0, Loss: 0.0010, Epsilon: 0.847, end at: 46, eps/sec: 12.33, ETR: 391.98 min
2024-12-26 14:27:25,385 - INFO - Episode 10101/300000, Reward: 5.0, Loss: 0.0014, Epsilon: 0.845, end at: 46, eps/sec: 12.31, ETR: 392.36 min
2024-12-26 14:27:33,782 - INFO - Episode 10201/300000, Reward: 4.0, Loss: 0.0018, Epsilon: 0.844, end at: 46, eps/sec: 12.31, ETR: 392.36 min
2024-12-26 14:27:42,248 - INFO - Episode 10301/300000, Reward: 2.0, Loss: 0.0019, Epsilon: 0.842, end at: 46, eps/sec: 12.31, ETR: 392.39 min
2024-12-26 14:27:50,640 - INFO - Episode 10401/300000, Reward: 3.0, Loss: 0.0019, Epsilon: 0.841, end at: 46, eps/sec: 12.30, ETR: 392.37 min
2024-12-26 14:27:58,963 - INFO - Episode 10501/300000, Reward: 2.0, Loss: 0.0026, Epsilon: 0.840, end at: 46, eps/sec: 12.30, ETR: 392.33 min
2024-12-26 14:28:07,443 - INFO - Episode 10601/300000, Reward: 3.0, Loss: 0.0016, Epsilon: 0.838, end at: 46, eps/sec: 12.29, ETR: 392.35 min
2024-12-26 14:28:16,040 - INFO - Episode 10701/300000, Reward: 6.0, Loss: 0.0017, Epsilon: 0.837, end at: 46, eps/sec: 12.29, ETR: 392.42 min
2024-12-26 14:28:24,446 - INFO - Episode 10801/300000, Reward: 4.0, Loss: 0.0021, Epsilon: 0.835, end at: 46, eps/sec: 12.28, ETR: 392.41 min
2024-12-26 14:28:33,042 - INFO - Episode 10901/300000, Reward: 4.0, Loss: 0.0026, Epsilon: 0.834, end at: 46, eps/sec: 12.28, ETR: 392.47 min
2024-12-26 14:28:41,644 - INFO - Episode 11001/300000, Reward: 2.0, Loss: 0.0016, Epsilon: 0.833, end at: 46, eps/sec: 12.27, ETR: 392.54 min
2024-12-26 14:28:50,059 - INFO - Episode 11101/300000, Reward: 1.0, Loss: 0.0017, Epsilon: 0.831, end at: 46, eps/sec: 12.27, ETR: 392.51 min
2024-12-26 14:28:58,504 - INFO - Episode 11201/300000, Reward: 2.0, Loss: 0.0018, Epsilon: 0.830, end at: 46, eps/sec: 12.26, ETR: 392.50 min
2024-12-26 14:29:07,093 - INFO - Episode 11301/300000, Reward: 3.0, Loss: 0.0023, Epsilon: 0.829, end at: 46, eps/sec: 12.26, ETR: 392.55 min
2024-12-26 14:29:15,709 - INFO - Episode 11401/300000, Reward: 9.0, Loss: 0.0022, Epsilon: 0.827, end at: 46, eps/sec: 12.25, ETR: 392.61 min
2024-12-26 14:29:24,238 - INFO - Episode 11501/300000, Reward: 8.0, Loss: 0.0016, Epsilon: 0.826, end at: 46, eps/sec: 12.25, ETR: 392.63 min
2024-12-26 14:29:32,816 - INFO - Episode 11601/300000, Reward: 5.0, Loss: 0.0015, Epsilon: 0.824, end at: 46, eps/sec: 12.24, ETR: 392.66 min
2024-12-26 14:29:41,332 - INFO - Episode 11701/300000, Reward: 2.0, Loss: 0.0012, Epsilon: 0.823, end at: 46, eps/sec: 12.24, ETR: 392.67 min
2024-12-26 14:29:49,934 - INFO - Episode 11801/300000, Reward: 5.0, Loss: 0.0014, Epsilon: 0.822, end at: 46, eps/sec: 12.23, ETR: 392.71 min
2024-12-26 14:29:58,458 - INFO - Episode 11901/300000, Reward: 3.0, Loss: 0.0027, Epsilon: 0.820, end at: 46, eps/sec: 12.23, ETR: 392.71 min
2024-12-26 14:30:07,106 - INFO - Episode 12001/300000, Reward: 2.0, Loss: 0.0015, Epsilon: 0.819, end at: 46, eps/sec: 12.22, ETR: 392.76 min
2024-12-26 14:30:16,905 - INFO - Episode 12101/300000, Reward: 1.0, Loss: 0.0027, Epsilon: 0.818, end at: 46, eps/sec: 12.20, ETR: 393.27 min
2024-12-26 14:30:25,679 - INFO - Episode 12201/300000, Reward: 1.0, Loss: 0.0019, Epsilon: 0.816, end at: 46, eps/sec: 12.19, ETR: 393.36 min
2024-12-26 14:30:34,542 - INFO - Episode 12301/300000, Reward: 4.0, Loss: 0.0012, Epsilon: 0.815, end at: 46, eps/sec: 12.19, ETR: 393.48 min
2024-12-26 14:30:43,233 - INFO - Episode 12401/300000, Reward: 4.0, Loss: 0.0017, Epsilon: 0.813, end at: 46, eps/sec: 12.18, ETR: 393.53 min
2024-12-26 14:30:51,968 - INFO - Episode 12501/300000, Reward: 3.0, Loss: 0.0033, Epsilon: 0.812, end at: 46, eps/sec: 12.17, ETR: 393.60 min
